Date;GSCPI
31-Jan-1998;-1,09
28-Feb-1998;-0,44
31-Mar-1998;-0,06
30-Apr-1998;-0,12
31-May-1998;-0,43
30-Jun-1998;-0,74
31-Jul-1998;-0,92
31-Aug-1998;-0,90
30-Sep-1998;-0,91
31-Oct-1998;-0,68
30-Nov-1998;-0,86
31-Dec-1998;-0,62
31-Jan-1999;-0,28
28-Feb-1999;0,00
31-Mar-1999;-0,27
30-Apr-1999;-0,22
31-May-1999;-0,36
30-Jun-1999;-0,37
31-Jul-1999;-0,62
31-Aug-1999;-0,45
30-Sep-1999;-0,39
31-Oct-1999;-0,12
30-Nov-1999;-0,17
31-Dec-1999;-0,21
31-Jan-2000;-0,61
29-Feb-2000;-0,42
31-Mar-2000;-0,28
30-Apr-2000;0,13
31-May-2000;0,28
30-Jun-2000;0,04
31-Jul-2000;-0,01
31-Aug-2000;0,09
30-Sep-2000;0,04
31-Oct-2000;-0,52
30-Nov-2000;-0,73
31-Dec-2000;-0,92
31-Jan-2001;-0,91
28-Feb-2001;-0,77
31-Mar-2001;-0,57
30-Apr-2001;-0,99
31-May-2001;-1,11
30-Jun-2001;-0,69
31-Jul-2001;-0,82
31-Aug-2001;-0,78
30-Sep-2001;-0,67
31-Oct-2001;-1,20
30-Nov-2001;-1,43
31-Dec-2001;-1,15
31-Jan-2002;-0,91
28-Feb-2002;-0,47
31-Mar-2002;-0,43
30-Apr-2002;-0,58
31-May-2002;-0,31
30-Jun-2002;-0,62
31-Jul-2002;-0,95
31-Aug-2002;-1,08
30-Sep-2002;-1,13
31-Oct-2002;-1,23
30-Nov-2002;-0,75
31-Dec-2002;-0,69
31-Jan-2003;-0,63
28-Feb-2003;-0,31
31-Mar-2003;-0,32
30-Apr-2003;-0,55
31-May-2003;-0,20
30-Jun-2003;-0,11
31-Jul-2003;0,00
31-Aug-2003;-0,07
30-Sep-2003;0,06
31-Oct-2003;-0,27
30-Nov-2003;-0,41
31-Dec-2003;-0,36
31-Jan-2004;-0,50
29-Feb-2004;-0,38
31-Mar-2004;0,00
30-Apr-2004;0,42
31-May-2004;0,37
30-Jun-2004;0,42
31-Jul-2004;-0,45
31-Aug-2004;0,08
30-Sep-2004;-0,02
31-Oct-2004;-0,61
30-Nov-2004;-0,06
31-Dec-2004;0,10
31-Jan-2005;-0,12
28-Feb-2005;-0,13
31-Mar-2005;-0,28
30-Apr-2005;-1,32
31-May-2005;-0,99
30-Jun-2005;-0,94
31-Jul-2005;-0,89
31-Aug-2005;-0,51
30-Sep-2005;0,08
31-Oct-2005;-0,07
30-Nov-2005;-0,64
31-Dec-2005;-0,70
31-Jan-2006;-0,37
28-Feb-2006;-0,73
31-Mar-2006;-0,38
30-Apr-2006;0,11
31-May-2006;0,10
30-Jun-2006;0,16
31-Jul-2006;-0,09
31-Aug-2006;0,07
30-Sep-2006;-0,64
31-Oct-2006;-0,52
30-Nov-2006;-0,23
31-Dec-2006;-0,46
31-Jan-2007;-0,87
28-Feb-2007;-0,71
31-Mar-2007;-0,59
30-Apr-2007;-0,83
31-May-2007;-0,42
30-Jun-2007;-0,37
31-Jul-2007;-0,44
31-Aug-2007;-0,10
30-Sep-2007;-0,04
31-Oct-2007;-0,61
30-Nov-2007;-0,49
31-Dec-2007;-0,15
31-Jan-2008;-0,38
29-Feb-2008;0,46
31-Mar-2008;0,15
30-Apr-2008;0,13
31-May-2008;-0,12
30-Jun-2008;0,27
31-Jul-2008;1,00
31-Aug-2008;0,28
30-Sep-2008;-0,54
31-Oct-2008;-0,98
30-Nov-2008;-1,53
31-Dec-2008;-0,70
31-Jan-2009;-0,41
28-Feb-2009;-0,44
31-Mar-2009;0,18
30-Apr-2009;0,84
31-May-2009;0,33
30-Jun-2009;-0,51
31-Jul-2009;-0,75
31-Aug-2009;-1,14
30-Sep-2009;-0,50
31-Oct-2009;-0,46
30-Nov-2009;-0,80
31-Dec-2009;-0,62
31-Jan-2010;-0,33
28-Feb-2010;-0,16
31-Mar-2010;0,36
30-Apr-2010;0,29
31-May-2010;0,44
30-Jun-2010;-0,03
31-Jul-2010;-0,04
31-Aug-2010;0,31
30-Sep-2010;0,37
31-Oct-2010;0,68
30-Nov-2010;0,45
31-Dec-2010;0,70
31-Jan-2011;0,77
28-Feb-2011;0,36
31-Mar-2011;0,74
30-Apr-2011;1,63
31-May-2011;0,94
30-Jun-2011;0,20
31-Jul-2011;0,29
31-Aug-2011;-0,10
30-Sep-2011;-0,55
31-Oct-2011;-0,38
30-Nov-2011;0,14
31-Dec-2011;-0,04
31-Jan-2012;0,38
29-Feb-2012;0,01
31-Mar-2012;-0,37
30-Apr-2012;-0,33
31-May-2012;-0,67
30-Jun-2012;-0,71
31-Jul-2012;-0,69
31-Aug-2012;-0,14
30-Sep-2012;-0,26
31-Oct-2012;-0,01
30-Nov-2012;-0,36
31-Dec-2012;-0,15
31-Jan-2013;-0,05
28-Feb-2013;-0,38
31-Mar-2013;-0,55
30-Apr-2013;-0,73
31-May-2013;-0,87
30-Jun-2013;-0,67
31-Jul-2013;-0,66
31-Aug-2013;-0,57
30-Sep-2013;-0,29
31-Oct-2013;-0,19
30-Nov-2013;-0,70
31-Dec-2013;-0,50
31-Jan-2014;-0,64
28-Feb-2014;-0,29
31-Mar-2014;-0,63
30-Apr-2014;-0,83
31-May-2014;-0,84
30-Jun-2014;-0,70
31-Jul-2014;-0,83
31-Aug-2014;-0,63
30-Sep-2014;-0,82
31-Oct-2014;-0,60
30-Nov-2014;-0,98
31-Dec-2014;-0,40
31-Jan-2015;-0,52
28-Feb-2015;-0,33
31-Mar-2015;-0,39
30-Apr-2015;-0,36
31-May-2015;-0,56
30-Jun-2015;-0,88
31-Jul-2015;-0,42
31-Aug-2015;-0,69
30-Sep-2015;-0,40
31-Oct-2015;-0,25
30-Nov-2015;-0,65
31-Dec-2015;-0,61
31-Jan-2016;-0,80
29-Feb-2016;-0,76
31-Mar-2016;-0,66
30-Apr-2016;-0,28
31-May-2016;-0,72
30-Jun-2016;-0,29
31-Jul-2016;-0,18
31-Aug-2016;0,09
30-Sep-2016;-0,30
31-Oct-2016;-0,06
30-Nov-2016;-0,31
31-Dec-2016;-0,22
31-Jan-2017;0,16
28-Feb-2017;0,14
31-Mar-2017;0,08
30-Apr-2017;0,01
31-May-2017;-0,15
30-Jun-2017;0,09
31-Jul-2017;0,09
31-Aug-2017;0,39
30-Sep-2017;0,55
31-Oct-2017;0,79
30-Nov-2017;0,81
31-Dec-2017;0,68
31-Jan-2018;0,59
28-Feb-2018;0,06
31-Mar-2018;0,44
30-Apr-2018;0,52
31-May-2018;0,38
30-Jun-2018;0,44
31-Jul-2018;0,45
31-Aug-2018;0,53
30-Sep-2018;0,47
31-Oct-2018;0,53
30-Nov-2018;0,46
31-Dec-2018;0,47
31-Jan-2019;0,52
28-Feb-2019;0,15
31-Mar-2019;0,22
30-Apr-2019;0,02
31-May-2019;-0,62
30-Jun-2019;-0,47
31-Jul-2019;-0,45
31-Aug-2019;-0,29
30-Sep-2019;0,13
31-Oct-2019;0,09
30-Nov-2019;0,15
31-Dec-2019;0,04
31-Jan-2020;0,06
29-Feb-2020;1,30
31-Mar-2020;2,67
30-Apr-2020;3,39
31-May-2020;2,58
30-Jun-2020;2,27
31-Jul-2020;2,96
31-Aug-2020;1,48
30-Sep-2020;0,62
31-Oct-2020;0,11
30-Nov-2020;0,78
31-Dec-2020;1,72
31-Jan-2021;1,37
28-Feb-2021;2,00
31-Mar-2021;2,33
30-Apr-2021;2,82
31-May-2021;3,10
30-Jun-2021;2,83
31-Jul-2021;3,01
31-Aug-2021;3,39
30-Sep-2021;3,46
31-Oct-2021;4,01
30-Nov-2021;4,41
31-Dec-2021;4,49
31-Jan-2022;3,78
28-Feb-2022;2,85
31-Mar-2022;2,91
30-Apr-2022;3,60
31-May-2022;2,81
30-Jun-2022;2,47
31-Jul-2022;1,87
31-Aug-2022;1,55
30-Sep-2022;1,05
31-Oct-2022;1,16
30-Nov-2022;1,28
31-Dec-2022;1,35
31-Jan-2023;1,09
28-Feb-2023;-0,22
31-Mar-2023;-1,17
30-Apr-2023;-1,31
31-May-2023;-1,59
30-Jun-2023;-1,12
31-Jul-2023;-0,95
31-Aug-2023;-1,07
30-Sep-2023;-0,66
31-Oct-2023;-0,38
30-Nov-2023;0,16
31-Dec-2023;-0,17
31-Jan-2024;-0,34
29-Feb-2024;-0,19
31-Mar-2024;-0,36
30-Apr-2024;-0,96
31-May-2024;-0,59
30-Jun-2024;-0,35
31-Jul-2024;-0,05
31-Aug-2024;0,21
30-Sep-2024;0,10
31-Oct-2024;-0,35
30-Nov-2024;-0,28
31-Dec-2024;-0,26
31-Jan-2025;-0,18
28-Feb-2025;0,00
31-Mar-2025;-0,19
30-Apr-2025;-0,25
31-May-2025;0,28
30-Jun-2025;0,08
31-Jul-2025;0,02
31-Aug-2025;-0,08
30-Sep-2025;-0,02
31-Oct-2025;-0,08
30-Nov-2025;-0,15
31-Dec-2025;0,56
31-Jan-2026;0,44
28-Feb-2026;0,54
31-Mar-2026;0,68
