dyad,region,first_stage_f,peak_short_run,peak_short_h,peak_medium_run,peak_medium_h,matches_us_pattern
Pakistan,East,18648.319841607372,-0.6677691001677886,10,3.6253323529381305,36,True
Indonesia,East,382.6484317531702,0.1316076177222385,0,0.9684639814531693,35,False
Germany,West,273.5421419437584,-0.6378671839265735,4,2.4018255662704178,28,True
US,West,236.18466005868288,-0.17395882027358311,6,0.30533585628381843,34,True
UK,West,178.90209888060528,-1.3904074536239932,7,1.3264827899947704,35,True
Japan,East,128.36012026026748,-0.25548003698626687,11,0.16346107680919886,36,True
Australia,West,110.44825178898819,-2.6203354055087402,10,1.2075226438173559,36,True
South Korea,East,92.30490636773578,-0.21781135456240008,5,0.13829283781183221,33,True
Vietnam,East,69.30133001140864,-0.27470715356594155,2,0.07349984872053028,18,True
Russia,East,51.19626802129074,-0.3706039896896982,1,1.9451652338611893,29,True
France,West,45.29291192516281,-0.07984533393755555,0,0.5850707004428841,32,True
India,East,35.98443393425941,-0.2962425755672484,3,1.0708207007330657,34,True
