h,dml_beta,dml_se
0,0.053897594404969044,0.04907515192735707
1,-0.020583353958930538,0.06127700259172344
2,-0.06393844446691588,0.06085070235809114
3,-0.11813676810386071,0.06549376925460389
4,-0.09108185937561986,0.08723546385102654
5,-0.03030171107448441,0.07111016486707761
6,-0.026136601709217396,0.07193902189392698
7,-0.06298476194365671,0.06948118182617012
8,-0.0115333615957095,0.08883207216691004
9,-0.028972789868348815,0.07254857584502218
10,-0.02661359521133594,0.06180411916413835
11,0.04800091059144055,0.05414969142061391
12,0.040625124577500865,0.07086998509914198
13,0.05299565523495701,0.07899372585766543
14,0.01371136777303273,0.06813474438254312
15,0.08635099115245715,0.0755185385264302
16,0.0014181881417043114,0.06905611393491785
17,-0.03205867016494753,0.06823439659658986
18,0.04874470629104958,0.07640481318589702
19,0.10064471095673436,0.05883149664335067
20,0.09968501942822416,0.06896472535046594
21,0.09464813290122001,0.06218918636467619
22,0.026280268405012384,0.06244843442635624
23,0.003467433375040313,0.0782875783719872
24,-0.009693680780594724,0.06987909112332841
25,0.09589295235376516,0.10399483696574734
26,-0.0017533885024302613,0.0702371848889287
27,0.03600847651272468,0.07120463450256485
28,0.010313766073756298,0.0946526839940163
29,-0.027439831487255407,0.09992421215375034
30,-0.020802254455887105,0.1085829440765201
31,-0.11758855745219826,0.14179423608348515
32,-0.11241430175823007,0.10890086730682591
33,0.001620867024655967,0.0800880783584136
34,0.03375335521743393,0.06561108916015514
35,0.05048360994630261,0.08276284655111851
36,-0.03870025412094328,0.0825471837808428
37,0.017106235382163652,0.06588800731113365
38,-0.02804209735950043,0.06274870769880822
39,-0.03963119421378666,0.06580958096762664
40,0.0026144698586494804,0.10002015930994579
41,-0.09676682985542515,0.08734027969098064
42,-0.009402612112850326,0.06929055397248902
43,-0.023006284823099767,0.07717637963335584
44,-0.04129354799454529,0.08327581360315593
45,-0.0006784011948601559,0.07930152711444073
46,-0.006337011891202368,0.07260590529450302
47,0.04890658657741808,0.07285977622117872
48,-0.017651942924195987,0.07894589299440545
