h,beta_wald,first_stage_f,weak_iv
0,0.14343244133203362,59.74447727515805,False
1,0.10725515340829918,56.136727649106874,False
2,0.08224399321416233,58.19641514568275,False
3,0.05666652379847895,59.36102271073041,False
4,0.04260343108023171,59.41340220448921,False
5,0.005424840606445866,63.86109918711343,False
6,-0.05973937372906998,59.05892025025281,False
7,-0.08258498212368075,58.75258752700453,False
8,-0.05265366837533297,59.72164277148524,False
9,-0.036512448630814986,59.81738447207128,False
10,-0.09818088633525407,61.520307322260294,False
11,-0.029222605937715175,66.9430329556449,False
12,-0.032479280011893714,56.79767472081755,False
13,-0.05396563165376297,56.96679841192567,False
14,-0.12187469232525515,58.19581361326159,False
15,-0.09252355482989431,58.73028977398,False
16,-0.18385315315042272,65.25616905162664,False
17,-0.2262098682838598,55.269399518241144,False
18,-0.18499864489705609,53.96336880581231,False
19,-0.1158777839977176,54.64055279869776,False
20,-0.08016304030744305,56.22183457998517,False
21,-0.07157883601494511,61.16702741700821,False
22,-0.06422840400062466,51.6597202180552,False
23,-0.08769701140191447,43.42297655276922,False
24,-0.039376220381052734,52.13919163664984,False
25,0.042538796434115185,52.162246759399544,False
26,-0.004249666979271966,56.97617301519151,False
27,0.013347865070714008,48.90028516527108,False
28,0.0886393070329724,40.10021695450027,False
29,0.12199724477635228,48.73113458947005,False
30,0.09373277810622758,50.60491311946437,False
31,0.09817580474667431,53.20129977348184,False
32,0.15460343360070616,45.760070023199276,False
33,0.2113402671380256,38.64492491714772,False
34,0.2589259001547344,44.8645602937641,False
35,0.31211861960775966,39.46114288213416,False
36,0.25684428726350006,49.668215107008805,False
37,0.25606057090728535,43.84763437722752,False
38,0.1991163235065798,35.4175352786915,False
39,0.2426935907976441,42.37467263322529,False
40,0.2575134526277903,36.1987499525967,False
41,0.13507304806240056,32.92726316475608,False
42,0.13438061319176353,41.55530286247549,False
43,0.08389283168569998,34.480370210621,False
44,0.21860386100435997,39.569460880849505,False
45,0.12875667070783622,32.33706298760439,False
46,0.16598428735822757,31.02328183041355,False
47,0.11555983163914325,16.980407947537223,False
48,-0.027297099148544276,30.448633003555937,False
