h,q25_ml,q50_ml,q75_ml
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0016127204271265683,0.0,0.028549823864279844
8,0.004017409237578207,0.0116209625900483,0.05431914362501278
9,0.02614124605359125,0.03217305003647519,0.054575012203500695
10,0.004917901022402749,0.001962962323236006,0.0007100455700723707
11,0.0,0.0041364983785716625,0.014351531557108999
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.05498696101063549,0.03445806370123217,0.09217507119679968
15,0.08613618654749855,0.08401032476693615,0.10934821316943477
16,0.09643242424978471,0.0537827564037161,0.1307998806881212
17,0.0024960502909050497,0.01879358841005585,0.07530605318951267
18,0.04392017569906281,0.022374335188010352,0.04148814284110669
19,0.016606601801033793,0.017892474724622964,0.014792537051595112
20,0.016005068432216607,0.003480319349798755,0.009511722675472623
21,0.0,0.013966550078151396,0.011145570053306741
22,0.0,0.016806457814181552,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.006983275039075476,0.0
26,0.0,0.0,0.0
27,-0.00024147856986322935,0.0,0.0
28,-0.00405571645306857,0.0,0.0
29,-0.007146057938399064,-0.003427404528018041,-0.01668642342500215
30,-0.0010139291132671424,0.0,-0.015100248360353952
31,0.0,0.0,0.0
32,-0.008778608171427837,-0.007357072034110068,-0.017273285629741064
33,0.0,0.0,-0.0016787746180986218
34,0.0,0.006771868237763545,0.0014055921916051872
35,0.01603983150942856,0.0015690237005059338,0.0
36,2.5106857038714736e-05,0.008378978302579387,0.0004978598439309145
37,0.014714144068220136,0.010022189475100696,0.005555890990582846
38,0.010023256274440229,0.0011149538962729189,0.0
39,0.004955598348129087,0.0,0.0
40,0.04027342528894007,0.06271396987308364,0.045012278499841685
41,0.039772155697308964,0.05417404305879581,0.061428226378542394
42,0.12762128684356933,0.06474681242981495,0.11844128271497789
43,0.1889047613933963,0.18350790841687648,0.24549318608256243
44,0.4875080390944406,0.38044905685890607,0.33923053177037277
45,0.40943410730553653,0.3675425930465308,0.3557797526666122
46,0.3435458159589455,0.2770466742557143,0.31439237834112266
47,0.27639229824266964,0.26357818896859353,0.2663719618513287
48,0.14507357946743005,0.2472435346898827,0.25048406359996234
